property,conditional,option,prob
sex,,male,0.48542855946515556
sex,,female,0.5145714405348445
age,,0,0.013111064260229061
age,,1,0.013111064260229061
age,,2,0.013111064260229061
age,,3,0.013111064260229061
age,,4,0.013111064260229061
age,,5,0.011796137936505954
age,,6,0.011796137936505954
age,,7,0.011796137936505954
age,,8,0.011796137936505954
age,,9,0.011796137936505954
age,,10,0.01141010789007216
age,,11,0.01141010789007216
age,,12,0.01141010789007216
age,,13,0.01141010789007216
age,,14,0.01141010789007216
age,,15,0.011086151181266634
age,,16,0.011377051083051187
age,,17,0.011377051083051187
age,,18,0.012971123777173613
age,,19,0.012971123777173613
age,,20,0.013803053420534742
age,,21,0.015971947258966293
age,,22,0.015971947258966293
age,,23,0.015971947258966293
age,,24,0.015971947258966293
age,,25,0.019616276584100558
age,,26,0.019616276584100558
age,,27,0.019616276584100558
age,,28,0.019616276584100558
age,,29,0.019616276584100558
age,,30,0.019616276584100558
age,,31,0.019616276584100558
age,,32,0.019616276584100558
age,,33,0.019616276584100558
age,,34,0.019616276584100558
age,,35,0.013974214221332219
age,,36,0.013974214221332219
age,,37,0.013974214221332219
age,,38,0.013974214221332219
age,,39,0.013974214221332219
age,,40,0.013974214221332219
age,,41,0.013974214221332219
age,,42,0.013974214221332219
age,,43,0.013974214221332219
age,,44,0.013974214221332219
age,,45,0.012105035433224148
age,,46,0.012105035433224148
age,,47,0.012105035433224148
age,,48,0.012105035433224148
age,,49,0.012105035433224148
age,,50,0.012105035433224148
age,,51,0.012105035433224148
age,,52,0.012105035433224148
age,,53,0.012105035433224148
age,,54,0.012105035433224148
age,,55,0.011498259375461417
age,,56,0.011498259375461417
age,,57,0.011498259375461417
age,,58,0.011498259375461417
age,,59,0.011498259375461417
age,,60,0.010645393754320342
age,,61,0.010645393754320342
age,,62,0.009528073677011488
age,,63,0.009528073677011488
age,,64,0.009528073677011488
age,,65,0.006689228549621573
age,,66,0.006689228549621573
age,,67,0.006689228549621573
age,,68,0.006689228549621573
age,,69,0.006689228549621573
age,,70,0.006689228549621573
age,,71,0.006689228549621573
age,,72,0.006689228549621573
age,,73,0.006689228549621573
age,,74,0.006689228549621573
age,,75,0.0035297323941282295
age,,76,0.0035297323941282295
age,,77,0.0035297323941282295
age,,78,0.0035297323941282295
age,,79,0.0035297323941282295
age,,80,0.0035297323941282295
age,,81,0.0035297323941282295
age,,82,0.0035297323941282295
age,,83,0.0035297323941282295
age,,84,0.0035297323941282295
age,,85,0.0009619530843102844
age,,86,0.0009619530843102844
age,,87,0.0009619530843102844
age,,88,0.0009619530843102844
age,,89,0.0009619530843102844
age,,90,0.0009619530843102844
age,,91,0.0009619530843102844
age,,92,0.0009619530843102844
age,,93,0.0009619530843102844
age,,94,0.0009619530843102844
age,,95,0.0009619530843102844
age,,96,0.0009619530843102844
age,,97,0.0009619530843102844
age,,98,0.0009619530843102844
age,,99,0.0009619530843102844
race,,white,0.49141184153595147
race,,african_american,0.30508714876224297
race,,american_indian,0.002836641340255184
race,,asian,0.062241560046220765
race,,native_hawaiian,0.0003088974967181937
race,,some_other_race,0.11185211412972813
race,,two_or_more_races,0.02626179668888329
